<<<<<<< HEAD
CLI,SEXT,NBENF,SEG,DNA,AGE_NCP_HASH,nb_transactions,montant_total,montant_moyen,montant_max,montant_min,date_derniere_txn,dernier_type_op,dernier_montant,nb_types_produits,nb_libelles_produits,churn
0dc1c4a1-8b84-4651-a508-f302971756fa,M,4,62,1990-11-26,78bb8c042e4c526ec427ff3a8fc2f04d4fbaa2a1e8daa65aea17609fccf58f07,2,40.26,59.2,201.09,4.56,2024-07-29,VIREMENT,656.75,1,2,1
68b47bea-f657-470c-9871-1e51e196f07a,F,4,60,1938-05-15,aaab12f0494296a9c2834591cfbb3b3eda6956174aa467785c6e37f9f2599dd0,0,14.13,36.45,292.8,13.29,2024-12-28,VIREMENT,971.18,2,4,1
7c89ced0-84f9-4e2a-b7ea-1db3d08a72c1,M,0,62,1939-07-08,0414e5d9133149745646857fc527b667de9b205f200e08778a552ef029f412fe,2,57.13,90.27,176.84,14.86,2024-08-27,PAIEMENT,562.63,1,4,1
acfe3a95-bc8f-4f17-b9da-6d2fdd178097,M,2,60,1957-10-01,93863e8f5710e86f31245001aef838a79c41bd3d1d1c7182b0e76c57f8be2c8a,1,69.19,52.73,107.8,16.98,2025-01-13,DEPOT,715.04,4,1,1
a77d3f42-22aa-49c1-ac6d-5dca86a68642,M,1,61,1975-05-09,0038de01f700a2a2bb6187bd9913c1e53d23dc6f49a2e73889878605d6c12cb8,0,80.18,42.69,106.19,8.51,2024-08-11,VIREMENT,69.38,2,3,1
aebe2fa3-a748-471b-8513-ba281aa0990c,F,0,62,1958-07-06,4950d28b21b283ab62eb6fbf5858736e5464f2232a4b4163711e3bd5726de8d8,0,20.79,53.69,177.6,6.13,2024-10-09,ENCAISSEMENT,418.25,2,2,1
da967406-ef30-43d2-9f84-c06833e9f89c,M,1,60,1956-11-21,c905cf3d15dbc2be777a125100332056ce515da29ae03650812a80f1ce72e30e,2,17.56,23.06,132.0,6.57,2024-11-03,SORT CHEQUE,117.24,4,3,1
28057742-4442-4557-9ee9-6caacf779f05,M,1,60,1994-12-04,1fe9f55fe357c1ab4e6bd430a3496455e531901fa5813fdec2a86a0b71e19507,2,11.34,30.57,104.67,14.28,2024-08-12,PAIEMENT,613.18,3,4,1
5247f56a-b289-4972-a3a6-80e9e239a318,M,2,62,1965-02-16,1ced089ce5f7cc2a38ff22a0f68c330fcc5f74d0639e54420f85f33891ffd1d5,0,63.94,74.01,251.24,16.35,2025-01-04,VIREMENT,938.54,2,3,1
f4b47ba3-c83a-46dc-8377-723fa4da9ebf,F,1,61,1975-02-16,46af420f472d6683e4551776c30b178673e8958f52a5ff2c536e7c64b4e1c76c,2,70.87,36.86,191.7,3.71,2024-10-20,ENCAISSEMENT,662.12,2,2,1
