<<<<<<< HEAD
CLI,SEXT,NBENF,SEG,DNA,AGE_NCP_HASH,nb_transactions,montant_total,montant_moyen,montant_max,montant_min,date_derniere_txn,dernier_type_op,dernier_montant,nb_types_produits,nb_libelles_produits,churn
007887d2e2d495ea093d9788351d7137bb0885b0cb4860c3fbc70baf5715bb6b, ,0,61,,1aa3a2cc82cdac34c925eddb4b4eedd36aeab6a298bbd549c9b0ee90b9a9b160,14224,48665651.328,3421.375937007874,36221.78,0.417,,SORT CHEQUE   274501          ,494.0,18,18,0
007ffe81b8f5e1ee663d2d2b8861fde6f3b655c42308c5cf42e9c86c05b407b1, ,0,61,,50d04d3b25f61a1d08dbf6f8a9abb1a04d2529e09767e7464f5ad39bf508d594,2079,8880381.279,4271.467666666666,55700.0,0.893,,CHQ IMP 9833679 DEPASSEMENT N ,960.14,10,10,0
00f63c02f77c030371d26d603bbce92ff96c0a4685dc296ec64b02383543a2a9, ,0,61,,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f,1500,4743114.84,3162.07656,10000.0,0.417,,SORT CHEQUE   597602          ,901.0,8,8,0
0145952d093905790bdd9ae5d1e57215ba03b999b362667d53e44ac38f2a6bd7, ,0,61,,d75ca80b19516b68c5aef14cffc751aab3b142bb3c6d576c99e23a2f64b92f6e,1921,1419586.122,738.9828849557522,4908.41,0.417,,ENCAISSEMENT CHEQUE       10  ,1351.71,6,6,0
03252f50b5330e939f84b4ea6cc1deea1de1da66fd2e40d0b41e3bbfb194a44a, ,0,62,,688897bbeb376a9494aa8c80a3a25ce763c217a65ba727f3e0a2b4202f6c2e25,4563,8093917980.378,1773815.0296686392,15000000.0,0.119,,SORT CHEQUE   927860          ,80000.0,8,8,0
0363ba7ade1bfa33325cf53799239cedd5281df67349f57a9ac3314ddd386bbe,M,0,7,1936-04-01,98fd9d890e04c1ab489b57f45bdff52b3848be7493a9e6af7cee2025b0487e9d,2,3.064,1.532,1.562,1.502,1936-04-01,PRELEVEMENT LIBERATOIRE       ,1.502,1,1,1
03fa88fe75f2a5169fe38bcefadb700d01c03b8a555ab5f8262d4009ad2e35c7, ,0,44,,56529dc24a92b264986fb4af6910053c4cee82cdf4bf3eddeba93be16209e9a7,5406,8724226.94,1613.8044654088048,10962.898,0.417,,ENC. EFFET TN  6279621        ,10962.898,20,20,0
0551f7b2e33ed0b44f4ef8df12095c8f2c69b0563478269df25bfe77089cb08e,M,0,7,1948-11-18,6745e569a28cfc91ef9d34c34097f9fc0d6bdcea7c8ee0975a2a2241de75358e,2,124.80699999999999,62.403499999999994,103.014,21.793,1948-11-18,PRELEVEMENT LIBERATOIRE       ,21.793,1,1,0
057c7b8d0e0f5c0000518098e36b3a2d6a986c434826bf2f6f49cc3d89868934, ,0,61,,50d04d3b25f61a1d08dbf6f8a9abb1a04d2529e09767e7464f5ad39bf508d594,59474,503542531.065,8466.599372246696,300000.0,0.14,,AGIOS AU 31/12/24             ,1982.72,18,18,0
09f8d324d882a5c8b0cda6a63b87ec823c614ff6a5d6e17539e4f66aa5d0ca2a,F,0,1,1952-02-14,e11d933dda4513c70db2dfd455a385e30782ea551cbd8457359a6a756c176672,12,104.676,8.723,20.582,0.091,1952-02-14,AGIOS DU 30/09/24 AU 31/12/24 ,5.496,4,4,0
