CLI,CPRO,LIB,DNA,SEXT,NBENF,SEG,DOU,BH_LIB,DCO,MON,SEN,AGE_NCP_HASH
9d49cbcda6dee45c073baa2fa3aa3b899186d948a9f2267ec6c9ca28bd6e5c71,13,COMPTES SPECIAUX D EPARGNE,1934-08-08,F,0,7,1970-01-01,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,858.428,C,a70a6e5a11a61c6a1f29f0e9f9d867138995a0a85b3179d65d594a80782ad54f
9d49cbcda6dee45c073baa2fa3aa3b899186d948a9f2267ec6c9ca28bd6e5c71,13,COMPTES SPECIAUX D EPARGNE,1934-08-08,F,0,7,1970-01-01,PRELEVEMENT LIBERATOIRE       ,2025-01-02,172.876,D,a70a6e5a11a61c6a1f29f0e9f9d867138995a0a85b3179d65d594a80782ad54f
a137554336cfe5f0815835b16391d379b68dc45e15cb14306cfa35c9b3fc55cc,13,COMPTES SPECIAUX D EPARGNE,1937-12-16,M,0,2,2009-08-28,PRELEVEMENT LIBERATOIRE       ,2025-01-02,0.13,D,acaeb6f2596e8f47785cc8643843473a6844ce54c1db95bb62610aa5729ea8a2
a137554336cfe5f0815835b16391d379b68dc45e15cb14306cfa35c9b3fc55cc,13,COMPTES SPECIAUX D EPARGNE,1937-12-16,M,0,2,2009-08-28,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,5.299,D,acaeb6f2596e8f47785cc8643843473a6844ce54c1db95bb62610aa5729ea8a2
5ea53ed1308e5487444f5ab264384c67fe7b315b89faf39a9ddcae4c1192a569,13,COMPTES SPECIAUX D EPARGNE,1948-05-15,M,0,3,2008-12-12,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,87.246,C,89ca3848a24b9d70ae5451982eb2c19eb50760adb01be13e1e0ee2578816ea4a
5ea53ed1308e5487444f5ab264384c67fe7b315b89faf39a9ddcae4c1192a569,13,COMPTES SPECIAUX D EPARGNE,1948-05-15,M,0,3,2008-12-12,PRELEVEMENT LIBERATOIRE       ,2025-01-02,18.639,D,89ca3848a24b9d70ae5451982eb2c19eb50760adb01be13e1e0ee2578816ea4a
5ea53ed1308e5487444f5ab264384c67fe7b315b89faf39a9ddcae4c1192a569,13,COMPTES SPECIAUX D EPARGNE,1948-05-15,M,0,3,2008-12-12,VERSEMENT ESPECE   448526     ,2025-01-17,4000.0,C,89ca3848a24b9d70ae5451982eb2c19eb50760adb01be13e1e0ee2578816ea4a
5ea53ed1308e5487444f5ab264384c67fe7b315b89faf39a9ddcae4c1192a569,13,COMPTES SPECIAUX D EPARGNE,1948-05-15,M,0,3,2008-12-12,RETRAIT ESPECE   733481       ,2025-01-17,278.298,D,89ca3848a24b9d70ae5451982eb2c19eb50760adb01be13e1e0ee2578816ea4a
f0bfce60ef516f8aec681bfd9155ec1a2277ca926cd332d41ae7e188f630afd8,13,COMPTES SPECIAUX D EPARGNE,1980-09-08,M,0,101,2008-01-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,0.4,D,89819a73efdedb216b0dd2d6f38e19c1a3c3708aff5c61376af49884efd3ed5a
f0bfce60ef516f8aec681bfd9155ec1a2277ca926cd332d41ae7e188f630afd8,13,COMPTES SPECIAUX D EPARGNE,1980-09-08,M,0,101,2008-01-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,3.948,D,89819a73efdedb216b0dd2d6f38e19c1a3c3708aff5c61376af49884efd3ed5a
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,1,DEPOTS A VUE EN DINARS,1952-02-23,F,0,2,2007-03-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,380.911,C,de694d0b4449f041b074ca1d3738ee9147ce2854fd88b9983f974c2af620a465
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,13,COMPTES SPECIAUX D EPARGNE,1952-02-23,F,0,2,2007-03-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,380.911,C,d302664b783c025d4575283b850c8cec82603210927c48393525fdd1b2dccde4
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,703,CREDITS AU PARTICULIERS MENAGE,1952-02-23,F,0,2,2007-03-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,380.911,C,701658db2a008c2b81ba6e737c499b00d6dcb107cd67ad508b08520431853a74
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,795,CREDIT TAHSIN,1952-02-23,F,0,2,2007-03-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,380.911,C,67c140142eabf1d2a6a62f0c8f77014b15d3b6591d0d3e8e87c04bfc4301846e
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,921,CARTE INTERBANCAIRE(CIB),1952-02-23,F,0,2,2007-03-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,380.911,C,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,923,CARTE VISA CLASSIC NATIONALE,1952-02-23,F,0,2,2007-03-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,380.911,C,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,380.911,C,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,380.911,C,ad382750a0956f43d117b5678397b5ea402bb1e4d7485fe94e88c8be4c3ec9e3
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,380.911,C,ad382750a0956f43d117b5678397b5ea402bb1e4d7485fe94e88c8be4c3ec9e3
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,96,COMPTE CARTE IDDIKHAR,1952-02-23,F,0,2,2007-03-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,380.911,C,ad382750a0956f43d117b5678397b5ea402bb1e4d7485fe94e88c8be4c3ec9e3
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,293,ART+MOBILE BASIQUE,1952-02-23,F,0,2,2007-03-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,380.911,C,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,AGIOS DU 30/09/24 AU 31/12/24 ,2025-01-02,380.911,C,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,1,DEPOTS A VUE EN DINARS,1952-02-23,F,0,2,2007-03-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,77.372,D,de694d0b4449f041b074ca1d3738ee9147ce2854fd88b9983f974c2af620a465
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,13,COMPTES SPECIAUX D EPARGNE,1952-02-23,F,0,2,2007-03-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,77.372,D,d302664b783c025d4575283b850c8cec82603210927c48393525fdd1b2dccde4
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,703,CREDITS AU PARTICULIERS MENAGE,1952-02-23,F,0,2,2007-03-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,77.372,D,701658db2a008c2b81ba6e737c499b00d6dcb107cd67ad508b08520431853a74
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,795,CREDIT TAHSIN,1952-02-23,F,0,2,2007-03-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,77.372,D,67c140142eabf1d2a6a62f0c8f77014b15d3b6591d0d3e8e87c04bfc4301846e
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,921,CARTE INTERBANCAIRE(CIB),1952-02-23,F,0,2,2007-03-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,77.372,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,923,CARTE VISA CLASSIC NATIONALE,1952-02-23,F,0,2,2007-03-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,77.372,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,77.372,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,77.372,D,ad382750a0956f43d117b5678397b5ea402bb1e4d7485fe94e88c8be4c3ec9e3
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,77.372,D,ad382750a0956f43d117b5678397b5ea402bb1e4d7485fe94e88c8be4c3ec9e3
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,96,COMPTE CARTE IDDIKHAR,1952-02-23,F,0,2,2007-03-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,77.372,D,ad382750a0956f43d117b5678397b5ea402bb1e4d7485fe94e88c8be4c3ec9e3
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,293,ART+MOBILE BASIQUE,1952-02-23,F,0,2,2007-03-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,77.372,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,PRELEVEMENT LIBERATOIRE       ,2025-01-02,77.372,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,1,DEPOTS A VUE EN DINARS,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE BAB JDID   >SOUSSE ,2024-11-04,300.0,D,de694d0b4449f041b074ca1d3738ee9147ce2854fd88b9983f974c2af620a465
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,13,COMPTES SPECIAUX D EPARGNE,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE BAB JDID   >SOUSSE ,2024-11-04,300.0,D,d302664b783c025d4575283b850c8cec82603210927c48393525fdd1b2dccde4
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,703,CREDITS AU PARTICULIERS MENAGE,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE BAB JDID   >SOUSSE ,2024-11-04,300.0,D,701658db2a008c2b81ba6e737c499b00d6dcb107cd67ad508b08520431853a74
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,795,CREDIT TAHSIN,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE BAB JDID   >SOUSSE ,2024-11-04,300.0,D,67c140142eabf1d2a6a62f0c8f77014b15d3b6591d0d3e8e87c04bfc4301846e
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,921,CARTE INTERBANCAIRE(CIB),1952-02-23,F,0,2,2007-03-14,ABT SOUSSE BAB JDID   >SOUSSE ,2024-11-04,300.0,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,923,CARTE VISA CLASSIC NATIONALE,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE BAB JDID   >SOUSSE ,2024-11-04,300.0,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE BAB JDID   >SOUSSE ,2024-11-04,300.0,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE BAB JDID   >SOUSSE ,2024-11-04,300.0,D,ad382750a0956f43d117b5678397b5ea402bb1e4d7485fe94e88c8be4c3ec9e3
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE BAB JDID   >SOUSSE ,2024-11-04,300.0,D,ad382750a0956f43d117b5678397b5ea402bb1e4d7485fe94e88c8be4c3ec9e3
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,96,COMPTE CARTE IDDIKHAR,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE BAB JDID   >SOUSSE ,2024-11-04,300.0,D,ad382750a0956f43d117b5678397b5ea402bb1e4d7485fe94e88c8be4c3ec9e3
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,293,ART+MOBILE BASIQUE,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE BAB JDID   >SOUSSE ,2024-11-04,300.0,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE BAB JDID   >SOUSSE ,2024-11-04,300.0,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,1,DEPOTS A VUE EN DINARS,1952-02-23,F,0,2,2007-03-14,ORANGE TUNISIE        >TUNIS  ,2024-11-11,11.4,D,de694d0b4449f041b074ca1d3738ee9147ce2854fd88b9983f974c2af620a465
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,13,COMPTES SPECIAUX D EPARGNE,1952-02-23,F,0,2,2007-03-14,ORANGE TUNISIE        >TUNIS  ,2024-11-11,11.4,D,d302664b783c025d4575283b850c8cec82603210927c48393525fdd1b2dccde4
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,703,CREDITS AU PARTICULIERS MENAGE,1952-02-23,F,0,2,2007-03-14,ORANGE TUNISIE        >TUNIS  ,2024-11-11,11.4,D,701658db2a008c2b81ba6e737c499b00d6dcb107cd67ad508b08520431853a74
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,795,CREDIT TAHSIN,1952-02-23,F,0,2,2007-03-14,ORANGE TUNISIE        >TUNIS  ,2024-11-11,11.4,D,67c140142eabf1d2a6a62f0c8f77014b15d3b6591d0d3e8e87c04bfc4301846e
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,921,CARTE INTERBANCAIRE(CIB),1952-02-23,F,0,2,2007-03-14,ORANGE TUNISIE        >TUNIS  ,2024-11-11,11.4,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,923,CARTE VISA CLASSIC NATIONALE,1952-02-23,F,0,2,2007-03-14,ORANGE TUNISIE        >TUNIS  ,2024-11-11,11.4,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,ORANGE TUNISIE        >TUNIS  ,2024-11-11,11.4,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,ORANGE TUNISIE        >TUNIS  ,2024-11-11,11.4,D,ad382750a0956f43d117b5678397b5ea402bb1e4d7485fe94e88c8be4c3ec9e3
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,ORANGE TUNISIE        >TUNIS  ,2024-11-11,11.4,D,ad382750a0956f43d117b5678397b5ea402bb1e4d7485fe94e88c8be4c3ec9e3
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,96,COMPTE CARTE IDDIKHAR,1952-02-23,F,0,2,2007-03-14,ORANGE TUNISIE        >TUNIS  ,2024-11-11,11.4,D,ad382750a0956f43d117b5678397b5ea402bb1e4d7485fe94e88c8be4c3ec9e3
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,293,ART+MOBILE BASIQUE,1952-02-23,F,0,2,2007-03-14,ORANGE TUNISIE        >TUNIS  ,2024-11-11,11.4,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,943,CARTE EDDIKHAR,1952-02-23,F,0,2,2007-03-14,ORANGE TUNISIE        >TUNIS  ,2024-11-11,11.4,D,38113c36d1f8eb3558d5868d285a7ddcba11128374fd2f13537255c351ea8c2f
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,1,DEPOTS A VUE EN DINARS,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE H.BOURGUIB >SOUSSE ,2024-11-14,300.0,D,de694d0b4449f041b074ca1d3738ee9147ce2854fd88b9983f974c2af620a465
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,13,COMPTES SPECIAUX D EPARGNE,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE H.BOURGUIB >SOUSSE ,2024-11-14,300.0,D,d302664b783c025d4575283b850c8cec82603210927c48393525fdd1b2dccde4
63662a1689738913b40422d43856c67d210402412f0279d4c597cb9cd6576a60,703,CREDITS AU PARTICULIERS MENAGE,1952-02-23,F,0,2,2007-03-14,ABT SOUSSE H.BOURGUIB >SOUSSE ,2024-11-14,300.0,D,701658db2a008c2b81ba6e737c499b00d6dcb107cd67ad508b08520431853a74
